tt0111161,The Shawshank Redemption,1994,0
tt0068646,The Godfather,1972,0
tt0071562,The Godfather: Part II,1974,0
tt0468569,The Dark Knight,2008,0
tt0050083,12 Angry Men,1957,0
tt0108052,Schindler's List,1993,0
tt0110912,Pulp Fiction,1994,0
tt0167260,The Lord of the Rings: The Return of the King,2003,0
tt0060196,"The Good, the Bad and the Ugly",1966,0
tt0137523,Fight Club,1999,0
tt0120737,The Lord of the Rings: The Fellowship of the Ring,2001,0
tt0109830,Forrest Gump,1994,0
tt0080684,Star Wars: Episode V - The Empire Strikes Back,1980,0
tt1375666,Inception,2010,0
tt0167261,The Lord of the Rings: The Two Towers,2002,0
tt0073486,One Flew Over the Cuckoo's Nest,1975,0
tt0099685,Goodfellas,1990,0
tt0133093,The Matrix,1999,0
tt0047478,Seven Samurai,1954,0
tt0076759,Star Wars: Episode IV - A New Hope,1977,0
tt0317248,City of God,2002,0
tt0114369,Se7en,1995,0
tt0102926,The Silence of the Lambs,1991,0
tt0038650,It's a Wonderful Life,1946,0
tt0118799,Life Is Beautiful,1997,0
tt0114814,The Usual Suspects,1995,0
tt0110413,Léon: The Professional,1994,0
tt0120815,Saving Private Ryan,1998,0
tt0245429,Spirited Away,2001,0
tt0064116,Once Upon a Time in the West,1968,0
tt0120586,American History X,1998,0
tt0816692,Interstellar,2014,0
tt0054215,Psycho,1960,0
tt0034583,Casablanca,1942,0
tt0021749,City Lights,1931,0
tt0120689,The Green Mile,1999,0
tt1675434,The Intouchables,2011,0
tt0027977,Modern Times,1936,0
tt0082971,Raiders of the Lost Ark,1981,0
tt0047396,Rear Window,1954,0
tt0253474,The Pianist,2002,0
tt0407887,The Departed,2006,0
tt0103064,Terminator 2: Judgment Day,1991,0
tt0088763,Back to the Future,1985,0
tt2582802,Whiplash,2014,0
tt0172495,Gladiator,2000,0
tt0209144,Memento,2000,0
tt0482571,The Prestige,2006,0
tt0110357,The Lion King,1994,0
tt0078788,Apocalypse Now,1979,0
tt0078748,Alien,1979,0
tt0043014,Sunset Boulevard,1950,0
tt0057012,Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb,1964,0
tt0032553,The Great Dictator,1940,0
tt0095765,Cinema Paradiso,1988,0
tt0405094,The Lives of Others,2006,0
tt0095327,Grave of the Fireflies,1988,0
tt0050825,Paths of Glory,1957,0
tt1853728,Django Unchained,2012,0
tt0081505,The Shining,1980,0
tt0910970,WALL·E,2008,0
tt0169547,American Beauty,1999,0
tt1345836,The Dark Knight Rises,2012,0
tt0119698,Princess Mononoke,1997,0
tt0090605,Aliens,1986,0
tt0364569,Oldboy,2003,0
tt0087843,Once Upon a Time in America,1984,0
tt0051201,Witness for the Prosecution,1957,0
tt0082096,Das Boot,1981,0
tt0033467,Citizen Kane,1941,0
tt5074352,Dangal,2016,0
tt0053125,North by Northwest,1959,0
tt0052357,Vertigo,1958,0
tt0086190,Star Wars: Episode VI - Return of the Jedi,1983,0
tt0105236,Reservoir Dogs,1992,0
tt0112573,Braveheart,1995,0
tt0022100,M,1931,0
tt0180093,Requiem for a Dream,2000,0
tt0211915,Amélie,2001,0
tt0986264,Like Stars on Earth,2007,0
tt0066921,A Clockwork Orange,1971,0
tt0056172,Lawrence of Arabia,1962,0
tt0075314,Taxi Driver,1976,0
tt0036775,Double Indemnity,1944,0
tt0338013,Eternal Sunshine of the Spotless Mind,2004,0
tt0086879,Amadeus,1984,0
tt0056592,To Kill a Mockingbird,1962,0
tt0435761,Toy Story 3,2010,0
tt0093058,Full Metal Jacket,1987,0
tt0062622,2001: A Space Odyssey,1968,0
tt0045152,Singin' in the Rain,1952,0
tt5311514,Your Name,2016,0
tt0070735,The Sting,1973,0
tt0114709,Toy Story,1995,0
tt0040522,Bicycle Thieves,1948,0
tt0012349,The Kid,1921,0
tt0361748,Inglourious Basterds,2009,0
tt1187043,3 Idiots,2009,0
tt0208092,Snatch,2000,0
tt0071853,Monty Python and the Holy Grail,1975,0
tt0119488,L.A. Confidential,1997,0
tt0059578,For a Few Dollars More,1965,0
tt2106476,The Hunt,2012,0
tt0119217,Good Will Hunting,1997,0
tt0086250,Scarface,1983,0
tt0476735,My Father and My Son,2005,0
tt0053604,The Apartment,1960,0
tt0042876,Rashomon,1950,0
tt1832382,A Separation,2011,0
tt0017136,Metropolis,1927,0
tt0097576,Indiana Jones and the Last Crusade,1989,0
tt0042192,All About Eve,1950,0
tt0055630,Yojimbo,1961,0
tt0372784,Batman Begins,2005,0
tt1049413,Up,2009,0
tt0053291,Some Like It Hot,1959,0
tt0040897,The Treasure of the Sierra Madre,1948,0
tt0105695,Unforgiven,1992,0
tt0363163,Downfall,2004,0
tt0081398,Raging Bull,1980,0
tt0095016,Die Hard,1988,0
tt0041959,The Third Man,1949,0
tt0118849,Children of Heaven,1997,0
tt0113277,Heat,1995,0
tt0057115,The Great Escape,1963,0
tt0071315,Chinatown,1974,0
tt0044741,Ikiru,1952,0
tt0457430,Pan's Labyrinth,2006,0
tt0096283,My Neighbor Totoro,1988,0
tt3890160,Baby Driver,2017,0
tt2096673,Inside Out,2015,0
tt0089881,Ran,1985,0
tt0015864,The Gold Rush,1925,0
tt0047296,On the Waterfront,1954,0
tt1305806,The Secret in Their Eyes,2009,0
tt3170832,Room,2015,0
tt0050212,The Bridge on the River Kwai,1957,0
tt0083658,Blade Runner,1982,0
tt0347149,Howl's Moving Castle,2004,0
tt3783958,La La Land,2016,0
tt1255953,Incendies,2010,0
tt0055031,Judgment at Nuremberg,1961,0
tt0050976,The Seventh Seal,1957,0
tt0120735,"Lock, Stock and Two Smoking Barrels",1998,0
tt0031679,Mr. Smith Goes to Washington,1939,0
tt0112641,Casino,1995,0
tt0268978,A Beautiful Mind,2001,0
tt3315342,Logan,2017,0
tt0080678,The Elephant Man,1980,0
tt0060107,Andrei Rublev,1966,0
tt0050986,Wild Strawberries,1957,0
tt0434409,V for Vendetta,2005,0
tt0017925,The General,1926,0
tt0993846,The Wolf of Wall Street,2013,0
tt1291584,Warrior,2011,0
tt0116231,The Bandit,1996,0
tt0117951,Trainspotting,1996,0
tt0018455,Sunrise,1927,0
tt0046912,Dial M for Murder,1954,0
tt1205489,Gran Torino,2008,0
tt0077416,The Deer Hunter,1978,0
tt2119532,Hacksaw Ridge,2016,0
tt0031381,Gone with the Wind,1939,0
tt0116282,Fargo,1996,0
tt0118715,The Big Lebowski,1998,0
tt0167404,The Sixth Sense,1999,0
tt0084787,The Thing,1982,0
tt0266543,Finding Nemo,2003,0
tt0046438,Tokyo Story,1953,0
tt0477348,No Country for Old Men,2007,0
tt0405508,Rang De Basanti,2006,0
tt0019254,The Passion of Joan of Arc,1928,0
tt0061512,Cool Hand Luke,1967,0
tt0032976,Rebecca,1940,0
tt1280558,A Wednesday,2008,0
tt0469494,There Will Be Blood,2007,0
tt0892769,How to Train Your Dragon,2010,0
tt0266697,Kill Bill: Vol. 1,2003,0
tt0091251,Come and See,1985,0
tt0978762,Mary and Max,2009,0
tt2267998,Gone Girl,2014,0
tt0758758,Into the Wild,2007,0
tt0025316,It Happened One Night,1934,0
tt1130884,Shutter Island,2010,0
tt0079470,Life of Brian,1979,0
tt0091763,Platoon,1986,0
tt3011894,Wild Tales,2014,0
tt0395169,Hotel Rwanda,2004,0
tt1979320,Rush,2013,0
tt0046268,The Wages of Fear,1953,0
tt0074958,Network,1976,0
tt0107207,In the Name of the Father,1993,0
tt0092005,Stand by Me,1986,0
tt0053198,The 400 Blows,1959,0
tt0052618,Ben-Hur,1959,0
tt2278388,The Grand Budapest Hotel,2014,0
tt1895587,Spotlight,2015,0
tt1392190,Mad Max: Fury Road,2015,0
tt2024544,12 Years a Slave,2013,0
tt0060827,Persona,1966,0
tt0405159,Million Dollar Baby,2004,0
tt0064115,Butch Cassidy and the Sundance Kid,1969,0
tt0107290,Jurassic Park,1993,0
tt0353969,Memories of Murder,2003,0
tt0245712,Amores Perros,2000,0
tt0033870,The Maltese Falcon,1941,0
tt0374887,Munna Bhai M.B.B.S.,2003,0
tt0079944,Stalker,1979,0
tt0120382,The Truman Show,1998,0
tt0050783,The Nights of Cabiria,1957,0
tt0093779,The Princess Bride,1987,0
tt1028532,Hachi: A Dog's Tale,2009,0
tt0087544,Nausicaä of the Valley of the Wind,1984,0
tt0112471,Before Sunrise,1995,0
tt2488496,Star Wars: The Force Awakens,2015,0
tt0073707,Sholay,1975,0
tt0032551,The Grapes of Wrath,1940,0
tt1201607,Harry Potter and the Deathly Hallows: Part 2,2011,0
tt0075148,Rocky,1976,0
tt1392214,Prisoners,2013,0
tt0052311,Touch of Evil,1958,0
tt0083987,Gandhi,1982,0
tt0046911,Diabolique,1955,0
tt0075686,Annie Hall,1977,0
tt0264464,Catch Me If You Can,2002,0
tt0246578,Donnie Darko,2001,0
tt0198781,"Monsters, Inc.",2001,0
tt0242519,Hera Pheri,2000,0
tt0440963,The Bourne Ultimatum,2007,0
tt0088247,The Terminator,1984,0
tt0056801,8½,1963,0
tt0032138,The Wizard of Oz,1939,0
tt0072684,Barry Lyndon,1975,0
tt0107048,Groundhog Day,1993,0
tt0113247,La Haine,1995,0
tt0114746,Twelve Monkeys,1995,0
tt0073195,Jaws,1975,0
tt0338564,Infernal Affairs,2002,0
tt0036868,The Best Years of Our Lives,1946,0
tt1954470,Gangs of Wasseypur,2012,0
tt1454029,The Help,2011,0
tt0101414,Beauty and the Beast,1991,0
tt0072890,Dog Day Afternoon,1975,0
tt0058946,The Battle of Algiers,1966,0
tt0118694,In the Mood for Love,2000,0
tt0325980,Pirates of the Caribbean: The Curse of the Black Pearl,2003,0
tt0056687,What Ever Happened to Baby Jane?,1962,0
tt0087884,"Paris, Texas",1984,0
tt4430212,Drishyam,2015,0
tt2338151,PK,2014,0
